DATE,OPHNFB,CNP16OV,HOANBS
1948-01-01,23.140,102771,42.503
1948-04-01,23.079,102992,42.485
1948-07-01,23.104,103291,42.784
1948-10-01,23.205,103468,42.391
1949-01-01,23.442,103665,41.678
1949-04-01,23.683,103930,40.992
1949-07-01,24.249,104219,40.550
1949-10-01,24.118,104524,40.376
1950-01-01,24.945,104844,40.693
1950-04-01,25.252,105104,41.700
1950-07-01,25.800,105269,43.011
1950-10-01,25.847,104872,43.409
1951-01-01,25.875,104629,44.139
1951-04-01,25.796,104488,44.492
1951-07-01,26.368,104588,44.066
1951-10-01,26.447,104810,44.088
1952-01-01,26.582,104860,44.372
1952-04-01,26.529,105118,44.186
1952-07-01,26.399,105436,44.505
1952-10-01,26.958,105812,45.686
1953-01-01,27.193,106744,46.155
1953-04-01,27.258,106978,46.240
1953-07-01,27.373,107253,45.786
1953-10-01,27.277,107623,45.071
1954-01-01,27.334,107987,44.465
1954-04-01,27.524,108267,44.132
1954-07-01,28.020,108546,43.961
1954-10-01,28.336,108892,44.506
1955-01-01,28.895,109254,45.220
1955-04-01,28.994,109680,45.813
1955-07-01,29.099,109977,46.293
1955-10-01,28.995,110296,46.850
1956-01-01,28.645,110582,47.136
1956-04-01,28.787,110903,47.237
1956-07-01,28.783,111222,47.046
1956-10-01,29.091,111526,47.307
1957-01-01,29.424,111824,47.353
1957-04-01,29.307,112172,47.251
1957-07-01,29.719,112554,47.024
1957-10-01,29.818,113013,46.053
1958-01-01,29.407,113337,45.023
1958-04-01,29.970,113647,44.362
1958-07-01,30.532,113977,44.893
1958-10-01,31.053,114429,45.564
1959-01-01,31.092,114849,46.447
1959-04-01,31.393,115287,47.325
1959-07-01,31.437,115668,47.186
1959-10-01,31.335,116040,47.199
1960-01-01,32.066,116827,47.496
1960-04-01,31.567,117167,47.575
1960-07-01,31.755,117521,47.310
1960-10-01,31.335,118001,46.877
1961-01-01,31.740,118358,46.607
1961-04-01,32.574,118767,46.500
1961-07-01,33.129,119107,46.775
1961-10-01,33.413,119214,47.367
1962-01-01,33.959,119476,47.543
1962-04-01,33.824,119943,48.108
1962-07-01,34.387,120653,48.010
1962-10-01,34.639,121236,47.715
1963-01-01,34.742,121824,48.002
1963-04-01,35.006,122352,48.309
1963-07-01,35.865,122821,48.440
1963-10-01,35.841,123360,48.818
1964-01-01,36.065,123857,49.829
1964-04-01,36.263,124386,50.048
1964-07-01,36.637,124920,50.370
1964-10-01,36.283,125468,50.861
1965-01-01,36.804,125985,51.647
1965-04-01,36.973,126499,52.160
1965-07-01,37.725,126906,52.289
1965-10-01,38.379,127294,52.786
1966-01-01,38.902,127626,53.542
1966-04-01,38.633,127983,54.065
1966-07-01,38.760,128359,54.319
1966-10-01,39.000,128730,54.185
1967-01-01,39.309,129190,54.126
1967-04-01,39.453,129722,53.801
1967-07-01,39.654,130392,53.981
1967-10-01,39.768,130936,54.227
1968-01-01,40.656,131412,54.324
1968-04-01,41.037,131872,54.844
1968-07-01,41.053,132446,55.231
1968-10-01,40.955,133120,55.574
1969-01-01,41.281,133639,56.094
1969-04-01,40.942,134213,56.614
1969-07-01,40.984,134774,56.892
1969-10-01,40.778,135489,56.731
1970-01-01,40.905,136179,56.509
1970-04-01,41.502,136928,55.775
1970-07-01,42.154,137717,55.502
1970-10-01,41.767,138529,55.081
1971-01-01,43.005,139285,55.336
1971-04-01,43.126,140090,55.519
1971-07-01,43.535,140869,55.521
1971-10-01,43.156,141666,56.115
1972-01-01,43.832,143263,56.748
1972-04-01,44.695,144033,57.161
1972-07-01,44.952,144761,57.486
1972-10-01,45.331,145446,58.090
1973-01-01,46.357,146230,58.960
1973-04-01,46.374,146981,59.576
1973-07-01,45.940,147731,59.978
1973-10-01,45.654,148479,60.279
1974-01-01,45.544,149225,60.030
1974-04-01,45.407,150012,60.193
1974-07-01,44.942,150753,59.989
1974-10-01,45.342,151494,59.009
1975-01-01,45.679,152217,57.182
1975-04-01,46.404,152976,56.659
1975-07-01,46.972,153848,57.175
1975-10-01,47.023,154589,58.149
1976-01-01,47.719,155306,59.105
1976-04-01,48.158,156027,59.137
1976-07-01,48.271,156779,59.374
1976-10-01,48.409,157438,59.693
1977-01-01,48.721,158131,60.323
1977-04-01,48.921,158929,61.467
1977-07-01,49.434,159674,62.127
1977-10-01,48.805,160377,62.740
1978-01-01,48.833,161038,63.031
1978-04-01,49.804,161795,64.866
1978-07-01,49.835,162502,65.416
1978-10-01,50.162,163272,66.207
1979-01-01,49.706,164027,66.684
1979-04-01,49.615,164721,66.896
1979-07-01,49.554,165431,67.507
1979-10-01,49.495,166300,67.661
1980-01-01,49.730,166984,67.498
1980-04-01,49.212,167643,66.279
1980-07-01,49.406,168297,65.977
1980-10-01,49.909,168883,66.864
1981-01-01,50.677,169453,67.249
1981-04-01,50.021,170042,67.302
1981-07-01,50.490,170593,67.263
1981-10-01,49.954,171166,66.970
1982-01-01,49.703,171667,65.844
1982-04-01,49.717,172190,66.147
1982-07-01,49.815,172690,65.675
1982-10-01,50.253,173199,65.063
1983-01-01,50.936,173656,65.458
1983-04-01,52.051,174125,66.221
1983-07-01,52.176,174602,67.545
1983-10-01,52.476,175121,68.813
1984-01-01,52.730,175824,70.130
1984-04-01,53.023,176284,71.043
1984-07-01,53.246,176763,71.351
1984-10-01,53.306,177306,71.816
1985-01-01,53.475,177667,72.390
1985-04-01,53.644,178096,72.884
1985-07-01,54.327,178572,73.089
1985-10-01,54.545,179112,73.455
1986-01-01,55.191,179985,73.349
1986-04-01,55.624,180503,73.151
1986-07-01,55.861,180997,73.520
1986-10-01,55.740,181547,74.074
1987-01-01,55.477,182179,74.997
1987-04-01,55.851,182703,75.426
1987-07-01,55.863,183161,75.952
1987-10-01,56.422,183620,76.736
1988-01-01,56.636,184111,76.807
1988-04-01,56.790,184562,77.887
1988-07-01,56.909,184962,78.096
1988-10-01,56.972,185402,78.973
1989-01-01,57.071,185897,79.764
1989-04-01,57.236,186329,80.073
1989-07-01,57.503,186726,80.257
1989-10-01,57.509,187165,80.260
1990-01-01,58.053,188630,80.495
1990-04-01,58.457,189058,80.146
1990-07-01,58.646,189528,79.737
1990-10-01,58.038,190017,79.395
1991-01-01,58.217,190381,78.618
1991-04-01,59.166,190800,78.124
1991-07-01,59.673,191302,78.034
1991-10-01,59.954,191798,77.901
1992-01-01,61.140,192204,77.442
1992-04-01,61.660,192663,77.744
1992-07-01,62.212,193229,77.875
1992-10-01,62.583,193784,78.376
1993-01-01,62.042,194248,79.071
1993-04-01,61.682,194719,79.965
1993-07-01,61.953,195259,80.443
1993-10-01,62.196,195794,81.208
1994-01-01,62.369,196213,81.717
1994-04-01,62.426,196693,83.042
1994-07-01,62.074,197248,84.017
1994-10-01,62.725,197765,84.372
1995-01-01,62.771,198007,84.775
1995-04-01,63.064,198453,84.653
1995-07-01,63.059,199005,85.626
1995-10-01,63.403,199508,85.844
1996-01-01,63.793,199921,86.014
1996-04-01,64.414,200459,86.818
1996-07-01,64.648,201061,87.544
1996-10-01,64.707,201636,88.541
1997-01-01,64.574,202513,89.293
1997-04-01,65.530,203000,89.725
1997-07-01,66.063,203570,90.259
1997-10-01,66.380,204098,90.689
1998-01-01,66.985,204547,91.258
1998-04-01,67.331,205085,91.726
1998-07-01,68.247,205699,91.854
1998-10-01,68.770,206270,92.985
1999-01-01,69.719,207036,92.856
1999-04-01,69.973,207632,93.367
1999-07-01,70.613,208265,93.967
1999-10-01,71.652,208832,94.364
2000-01-01,71.369,211772,94.794
2000-04-01,72.795,212466,95.066
2000-07-01,72.748,213163,95.031
2000-10-01,73.483,213736,94.708
2001-01-01,73.089,214305,94.653
2001-04-01,74.332,214950,93.750
2001-07-01,74.783,215665,92.588
2001-10-01,75.701,216315,91.556
2002-01-01,77.311,216823,90.782
2002-04-01,77.395,217407,91.018
2002-07-01,77.992,218107,90.686
2002-10-01,77.913,218741,90.797
2003-01-01,78.686,220317,90.326
2003-04-01,79.702,221014,90.063
2003-07-01,81.461,221779,90.192
2003-10-01,82.224,222509,90.626
2004-01-01,81.993,222550,91.013
2004-04-01,82.865,223196,91.092
2004-07-01,83.199,223941,91.664
2004-10-01,83.594,224640,92.149
2005-01-01,84.553,225236,92.337
2005-04-01,84.417,225911,92.876
2005-07-01,84.940,226693,93.170
2005-10-01,84.983,227425,93.731
2006-01-01,85.653,227975,94.652
2006-04-01,85.486,228671,94.948
2006-07-01,85.289,229420,95.343
2006-10-01,85.883,230108,95.747
2007-01-01,86.024,231034,95.884
2007-04-01,86.223,231713,96.365
2007-07-01,87.083,232461,95.996
2007-10-01,87.836,233156,95.662
2008-01-01,87.236,232995,95.359
2008-04-01,88.227,233627,94.842
2008-07-01,88.482,234360,93.757
2008-10-01,88.207,235035,91.156
2009-01-01,89.071,235086,88.846
2009-04-01,91.011,235655,86.767
2009-07-01,92.321,236322,85.812
2009-10-01,93.681,236924,85.709
2010-01-01,93.906,237159,85.959
2010-04-01,94.137,237690,86.687
2010-07-01,94.810,238322,87.032
2010-10-01,95.095,238889,87.466
2011-01-01,94.380,239000,87.630
2011-04-01,94.385,239489,88.561
2011-07-01,94.165,240071,88.834
2011-10-01,94.699,240584,89.593
2012-01-01,95.093,242604,90.339
2012-04-01,95.543,243155,90.498
2012-07-01,95.300,243772,90.983
2012-10-01,94.918,244350,91.533
2013-01-01,95.568,244995,91.964
2013-04-01,95.294,245552,92.374
2013-07-01,95.827,246168,92.886
2013-10-01,96.734,246745,93.164
2014-01-01,95.792,247258,93.657
2014-04-01,96.642,247814,94.424
2014-07-01,97.496,248446,95.154
2014-10-01,97.033,249027,96.244
2015-01-01,97.782,250080,96.544
2015-04-01,98.131,250663,96.940
2015-07-01,98.493,251325,96.976
2015-10-01,97.943,251936,97.627
2016-01-01,98.202,252768,98.032
2016-04-01,98.197,253397,98.351
2016-07-01,98.730,254091,98.634
2016-10-01,99.362,254742,98.758
2017-01-01,99.480,254414,99.147
2017-04-01,99.442,254957,99.867
2017-07-01,100.367,255562,99.977
2017-10-01,100.940,256109,100.768
2018-01-01,101.338,257097,101.286
2018-04-01,101.474,257642,101.659
2018-07-01,101.708,258290,102.166
2018-10-01,101.499,258888,102.517
2019-01-01,102.384,258537,102.423
2019-04-01,103.303,259037,102.449
2019-07-01,104.207,259638,102.951
2019-10-01,105.032,260181,102.823
2020-01-01,104.716,259758,101.187
2020-04-01,109.758,260204,87.394
2020-07-01,111.277,260742,94.718
2020-10-01,110.326,261230,96.796
2021-01-01,110.770,261003,97.950
2021-04-01,111.003,261338,99.482
2021-07-01,110.345,261766,100.918
2021-10-01,111.100,262136,102.385
2022-01-01,109.299,263444,103.322
2022-04-01,108.304,263835,103.980
2022-07-01,108.416,264356,104.599
2022-10-01,108.834,264844,104.932
2023-01-01,108.617,266272,105.611
2023-04-01,109.570,266801,105.202
2023-07-01,110.877,267428,105.426
2023-10-01,111.758,267991,105.537
